NUTS3,NUTS Code,PosX,PosY,Rotation,LabelX,LabelY,LabelRot,Area,Humans,Bovinos,Suínos,Ovinos,Caprinos,Equídeos,Aves,Coelhos,Colmeias,Density
Alto Minho,111: Alto Minho,523,125,291.5,538,130,291,2218.84,232674,27927,2588,34438,11277,2412,260701,53243,18695,105.9
Ave,119: Ave,506,200,111.6,530,210,291.6,1451.36,420418,32034,19725,13142,9205,1632,703890,68423,12592,289.6
AM Porto,11A: Área Metropolitana do Porto,474,250,291.5,495,240,291.5,2041.27,1779994,95213,17205,10121,6507,904,537479,54594,17574,866.9
Cávado,112: Cávado,509,160,291.5,523,165,291.6,1245.79,424505,70619,2086,10179,6922,801,878170,168791,10596,340.9
Alto Tamega,11B: Alto Tâmega,624,250,291.6,596,240,291.6,2921.91,83510,30455,11151,51908,22094,4050,161199,150162,42799,29
Tamega e Sousa,11C: Tâmega e Sousa,476,275,111.6,500,285,291.6,1831.52,408425,16149,5553,20853,6121,857,237553,16078,21197,225.1
Douro,11D: Douro,617,300,111.6,633,306,291.6,4031.58,183705,8059,3071,39954,12059,1811,884178,90671,37566,46
Trás-os- Montes,11E: Terras de Trás-os-Montes,636,250,111.6,650,257,291.6,5543.6,107063,24593,12735,145860,20204,2305,119840,111889,96020,19.3
Algarve,150: Algarve,410,807,204.6,398,835,24,4996.79,478618,9538,14274,40267,14366,1507,49876,1718,112646,95
Aveiro,16D: Região de Aveiro,445,325,291.5,460,330,291.6,1692.86,376760,32509,10802,6718,3734,841,3000301,53281,6285,227.1
Coimbra,16E: Região de Coimbra,415,400,291.5,430,403,291.6,4335.57,441446,18194,34912,39063,18576,870,2996200,40703,26803,102.2
Leiria,16F: Região de Leiria,395,450,291.5,410,455,291.6,2449.13,292139,10694,426295,21857,12117,478,3786665,68999,18612,118.3
Dão Lafões,16G: Viseu Dão Lafões,575,375,291.6,547,363,291.6,3237.74,253638,9047,19759,50670,21248,631,16785045,67025,28729,78.4
Beira Baixa,16H: Beira Baixa,537,500,111.6,554,507,291.6,4614.64,81101,32461,9643,138478,20239,601,845678,12015,37009,17.6
Médio Tejo,16I: Médio Tejo,515,525,291.6,487,513,291.6,3344.31,231874,10449,54270,67446,15785,843,4104676,31768,27849,69.7
Beiras,16J: Beiras e Serra da Estrela,557,450,111.6,575,456,291.6,6304.95,208913,50914,14937,201443,33198,3122,713187,46213,38809,33.3
AM Lisboa,170: Área Metropolitana de Lisboa,335,600,291.6,352,600,291.6,3015.24,2921564,53368,101976,47504,9918,2371,1328712,3428,12355,1026.6
Oeste,16B: Oeste,365,525,291.5,378,533,291.6,2220.16,379085,27370,370591,32914,15745,1591,11822738,78483,7289,168.3
Alentejo Litoral,181: Alentejo Litoral,426,750,291.6,400,738,291.6,5309.41,99763,83910,208574,134071,11161,948,17633,530,27451,19
Baixo Alentejo,184: Baixo Alentejo,428,775,111.6,442,785,291.6,8542.72,115513,156287,87069,399767,31648,1951,19606,127,36761,13.7
Lezíria do Tejo,185: Lezíria do Tejo,495,575,291.6,465,565,291.6,4274.97,244259,67580,579816,59373,14528,3710,3815425,5836,8053,56.6
Alto Alentejo,186: Alto Alentejo,518,550,111.6,533,558,291.6,6084.34,104304,180841,16439,294272,16586,1434,55449,9233,25369,17.3
Alentejo Central,187: Alentejo Central,458,700,111.6,473,708,291.6,7393.46,153155,246680,137348,311455,26223,2310,276777,335,30792,21.2
RA Açores,200: Região Autónoma dos Açores,107,805,23,102,820,22,2321.96,240125,282820,49230,5680,7696,1467,501732,3247,6828,103.3
RA Madeira,300: Região Autónoma da Madeira,170,844,203,178,818,22,801.1,254070,3851,3693,4583,5184,22,600466,9064,5688,315.7
