Data,COIP,Valor
1996-01-15,HICP,96.3
1996-01-15,Cabeleireiros,99
1996-02-15,HICP,96.1
1996-02-15,Cabeleireiros,94.8
1996-03-15,HICP,98.9
1996-03-15,Cabeleireiros,95.2
1996-04-15,HICP,99.9
1996-04-15,Cabeleireiros,109.5
1996-05-15,HICP,100.7
1996-05-15,Cabeleireiros,95.5
1996-06-15,HICP,100.9
1996-06-15,Cabeleireiros,96.8
1996-07-15,HICP,99.1
1996-07-15,Cabeleireiros,97.1
1996-08-15,HICP,99
1996-08-15,Cabeleireiros,97.1
1996-09-15,HICP,101.3
1996-09-15,Cabeleireiros,97.3
1996-10-15,HICP,102.1
1996-10-15,Cabeleireiros,97.8
1996-11-15,HICP,102.2
1996-11-15,Cabeleireiros,97.6
1996-12-15,HICP,103.4
1996-12-15,Cabeleireiros,122.3
1997-01-15,HICP,102.7
1997-01-15,Cabeleireiros,107
1997-02-15,HICP,102.3
1997-02-15,Cabeleireiros,103.3
1997-03-15,HICP,104.7
1997-03-15,Cabeleireiros,103.9
1997-04-15,HICP,105.6
1997-04-15,Cabeleireiros,120.4
1997-05-15,HICP,106.1
1997-05-15,Cabeleireiros,104.9
1997-06-15,HICP,106.5
1997-06-15,Cabeleireiros,105.4
1997-07-15,HICP,104.3
1997-07-15,Cabeleireiros,105.6
1997-08-15,HICP,104.5
1997-08-15,Cabeleireiros,105.7
1997-09-15,HICP,106.3
1997-09-15,Cabeleireiros,105.7
1997-10-15,HICP,106.8
1997-10-15,Cabeleireiros,106.1
1997-11-15,HICP,107.3
1997-11-15,Cabeleireiros,107.5
1997-12-15,HICP,108.1
1997-12-15,Cabeleireiros,135.5
1998-01-15,HICP,107.1
1998-01-15,Cabeleireiros,117.2
1998-02-15,HICP,106.5
1998-02-15,Cabeleireiros,113.1
1998-03-15,HICP,109.2
1998-03-15,Cabeleireiros,113.9
1998-04-15,HICP,111
1998-04-15,Cabeleireiros,131.4
1998-05-15,HICP,111.4
1998-05-15,Cabeleireiros,115.4
