Day of Year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Median,Q1,Q3,Min,Max,DiffMedianYear,Covid2020,Covid2021,Covid2022,Covid2023
1,375,407,366,475,414,371,376,464,404,422,511,405.5,375,464,241.5,597.5,58.5,0,81,16,10
2,394,413,314,578,418,385,380,428,323,373,551,389.5,373,428,290.5,510.5,38.5,0,73,13,6
3,399,416,339,479,450,367,374,461,366,397,535,398,367,461,226,602,63,0,85,12,7
4,327,466,348,501,425,371,364,484,343,368,521,369.5,348,484,144,688,114.5,0,89,15,4
5,359,452,329,493,434,367,333,521,364,403,485,385,359,485,170,674,136,0,93,25,7
6,360,446,316,461,404,409,364,560,326,388,496,396,360,461,208.5,612.5,164,0,99,18,9
7,366,419,305,421,322,414,382,548,344,439,464,398,344,439,201.5,581.5,150,0,117,17,10
8,336,412,362,444,389,376,385,566,374,397,464,387,374,444,269,549,179,0,112,25,16
9,337,449,346,441,406,417,380,551,356,377,480,393,356,449,216.5,588.5,158,0,105,21,6
10,326,441,320,470,432,437,377,607,345,398,500,415,345,470,157.5,657.5,192,0,130,27,14
11,357,435,343,423,405,408,378,666,349,389,505,397,357,435,240,552,269,0,156,19,11
12,332,455,378,445,368,431,405,662,366,368,441,391.5,368,445,252.5,560.5,270.5,0,152,21,10
13,353,498,301,442,405,416,405,615,371,371,451,405,371,451,251,571,210,0,144,35,6
14,379,461,367,384,404,483,397,669,359,357,435,390.5,367,461,226,602,278.5,0,156,34,7
15,338,461,347,368,394,414,426,689,387,346,491,390.5,347,461,176,632,298.5,0,174,36,4
16,286,447,301,394,421,445,387,662,377,362,469,390.5,362,447,234.5,574.5,271.5,0,156,35,8
17,328,414,302,413,412,413,389,653,407,402,430,409.5,389,414,351.5,451.5,243.5,0,171,41,8
18,328,441,347,392,389,415,388,669,406,385,450,390.5,385,441,301,525,278.5,0,210,34,13
19,333,424,343,424,424,403,381,704,336,415,388,409,343,424,221.5,545.5,295,0,218,32,9
20,345,486,352,422,407,414,375,748,437,404,369,410.5,369,437,267,539,337.5,0,222,47,9
21,329,435,383,430,375,408,356,698,400,382,399,391.5,375,430,292.5,512.5,306.5,0,241,46,10
22,355,442,349,414,380,435,379,745,402,362,387,391,362,435,252.5,544.5,354,0,264,33,7
