Data,Obitos,Year,Day of Year,Week of Year
2014-01-01,375,2014,1,1
2015-01-01,407,2015,1,1
2016-01-01,366,2016,1,1
2017-01-01,475,2017,1,1
2018-01-01,414,2018,1,1
2019-01-01,371,2019,1,1
2020-01-01,376,2020,1,1
2021-01-01,464,2021,1,1
2022-01-01,404,2022,1,1
2023-01-01,422,2023,1,1
2024-01-01,511,2024,1,1
2014-01-02,394,2014,2,1
2015-01-02,413,2015,2,1
2016-01-02,314,2016,2,1
2017-01-02,578,2017,2,1
2018-01-02,418,2018,2,1
2019-01-02,385,2019,2,1
2020-01-02,380,2020,2,1
2021-01-02,428,2021,2,1
2022-01-02,323,2022,2,2
2023-01-02,373,2023,2,1
2024-01-02,551,2024,2,1
2014-01-03,399,2014,3,1
2015-01-03,416,2015,3,1
2016-01-03,339,2016,3,2
2017-01-03,479,2017,3,1
2018-01-03,450,2018,3,1
2019-01-03,367,2019,3,1
2020-01-03,374,2020,3,1
2021-01-03,461,2021,3,2
2022-01-03,366,2022,3,2
2023-01-03,397,2023,3,1
2024-01-03,535,2024,3,1
2014-01-04,327,2014,4,1
2015-01-04,466,2015,4,2
2016-01-04,348,2016,4,2
2017-01-04,501,2017,4,1
2018-01-04,425,2018,4,1
2019-01-04,371,2019,4,1
2020-01-04,364,2020,4,1
2021-01-04,484,2021,4,2
2022-01-04,343,2022,4,2
2023-01-04,368,2023,4,1
2024-01-04,521,2024,4,1
2014-01-05,359,2014,5,2
2015-01-05,452,2015,5,2
2016-01-05,329,2016,5,2
2017-01-05,493,2017,5,1
2018-01-05,434,2018,5,1
2019-01-05,367,2019,5,1
2020-01-05,333,2020,5,2
2021-01-05,521,2021,5,2
2022-01-05,364,2022,5,2
2023-01-05,403,2023,5,1
2024-01-05,485,2024,5,1
2014-01-06,360,2014,6,2
2015-01-06,446,2015,6,2
2016-01-06,316,2016,6,2
2017-01-06,461,2017,6,1
2018-01-06,404,2018,6,1
2019-01-06,409,2019,6,2
2020-01-06,364,2020,6,2
2021-01-06,560,2021,6,2
2022-01-06,326,2022,6,2
2023-01-06,388,2023,6,1
2024-01-06,496,2024,6,1
2014-01-07,366,2014,7,2
2015-01-07,419,2015,7,2
2016-01-07,305,2016,7,2
2017-01-07,421,2017,7,1
2018-01-07,322,2018,7,2
2019-01-07,414,2019,7,2
2020-01-07,382,2020,7,2
2021-01-07,548,2021,7,2
2022-01-07,344,2022,7,2
2023-01-07,439,2023,7,1
2024-01-07,464,2024,7,2
2014-01-08,336,2014,8,2
2015-01-08,412,2015,8,2
2016-01-08,362,2016,8,2
2017-01-08,444,2017,8,2
2018-01-08,389,2018,8,2
2019-01-08,376,2019,8,2
2020-01-08,385,2020,8,2
2021-01-08,566,2021,8,2
2022-01-08,374,2022,8,2
2023-01-08,397,2023,8,2
2024-01-08,464,2024,8,2
2014-01-09,337,2014,9,2
2015-01-09,449,2015,9,2
2016-01-09,346,2016,9,2
2017-01-09,441,2017,9,2
2018-01-09,406,2018,9,2
2019-01-09,417,2019,9,2
2020-01-09,380,2020,9,2
2021-01-09,551,2021,9,2
2022-01-09,356,2022,9,3
2023-01-09,377,2023,9,2
2024-01-09,480,2024,9,2
2014-01-10,326,2014,10,2
2015-01-10,441,2015,10,2
2016-01-10,320,2016,10,3
2017-01-10,470,2017,10,2
2018-01-10,432,2018,10,2
2019-01-10,437,2019,10,2
2020-01-10,377,2020,10,2
2021-01-10,607,2021,10,3
2022-01-10,345,2022,10,3
2023-01-10,398,2023,10,2
2024-01-10,500,2024,10,2
2014-01-11,357,2014,11,2
2015-01-11,435,2015,11,3
2016-01-11,343,2016,11,3
2017-01-11,423,2017,11,2
2018-01-11,405,2018,11,2
2019-01-11,408,2019,11,2
2020-01-11,378,2020,11,2
2021-01-11,666,2021,11,3
2022-01-11,349,2022,11,3
2023-01-11,389,2023,11,2
2024-01-11,505,2024,11,2
2014-01-12,332,2014,12,3
2015-01-12,455,2015,12,3
2016-01-12,378,2016,12,3
2017-01-12,445,2017,12,2
2018-01-12,368,2018,12,2
2019-01-12,431,2019,12,2
2020-01-12,405,2020,12,3
2021-01-12,662,2021,12,3
2022-01-12,366,2022,12,3
2023-01-12,368,2023,12,2
2024-01-12,441,2024,12,2
2014-01-13,353,2014,13,3
