NUTS3,Idade,Homens,Mulheres
Alto Minho,0,3964,3816
Alto Minho,5,4395,4100
Alto Minho,10,4797,4713
Alto Minho,15,5447,5210
Alto Minho,20,5958,5659
Alto Minho,25,6056,5432
Alto Minho,30,5848,5667
Alto Minho,35,6291,6253
Alto Minho,40,7334,7846
Alto Minho,45,8236,8860
Alto Minho,50,8087,8591
Alto Minho,55,7642,8943
Alto Minho,60,8016,9252
Alto Minho,65,7955,9192
Alto Minho,70,7194,8619
Alto Minho,75,6046,7919
Alto Minho,80,4106,5924
Alto Minho,85,3684,7163
Cávado,0,8969,8181
Cávado,5,9388,8923
Cávado,10,10254,9842
Cávado,15,11485,10849
Cávado,20,12755,12270
Cávado,25,12818,12247
Cávado,30,12762,12514
Cávado,35,13156,13496
Cávado,40,14766,15922
Cávado,45,16449,18133
Cávado,50,15867,17643
Cávado,55,14874,16719
Cávado,60,14208,15728
Cávado,65,12340,13921
Cávado,70,10432,12004
Cávado,75,7765,9567
Cávado,80,4740,6618
Cávado,85,4368,7860
Ave,0,8366,7807
Ave,5,8684,8209
Ave,10,9433,8739
Ave,15,10625,10040
Ave,20,12205,11495
Ave,25,12462,11472
Ave,30,12064,11653
Ave,35,12227,12391
Ave,40,13894,14807
Ave,45,15959,17110
Ave,50,16013,17344
Ave,55,15935,17377
Ave,60,14913,16363
Ave,65,13700,15398
Ave,70,11182,12762
Ave,75,8026,10168
Ave,80,4873,6750
Ave,85,4230,7788
Área Metropolitana do Porto,0,35793,33826
Área Metropolitana do Porto,5,37702,36042
Área Metropolitana do Porto,10,40749,39578
Área Metropolitana do Porto,15,44381,42953
Área Metropolitana do Porto,20,49815,48214
Área Metropolitana do Porto,25,50963,49154
Área Metropolitana do Porto,30,52981,52905
Área Metropolitana do Porto,35,53382,55291
Área Metropolitana do Porto,40,59803,63868
Área Metropolitana do Porto,45,66840,72778
Área Metropolitana do Porto,50,64590,72584
Área Metropolitana do Porto,55,62344,72036
Área Metropolitana do Porto,60,59817,69549
Área Metropolitana do Porto,65,53821,63829
Área Metropolitana do Porto,70,47150,57242
Área Metropolitana do Porto,75,36458,47108
Área Metropolitana do Porto,80,22719,31976
Área Metropolitana do Porto,85,19024,35399
Alto Tâmega e Barroso,0,1075,1038
Alto Tâmega e Barroso,5,1325,1231
Alto Tâmega e Barroso,10,1430,1360
Alto Tâmega e Barroso,15,1628,1624
Alto Tâmega e Barroso,20,1854,1833
Alto Tâmega e Barroso,25,1730,1631
Alto Tâmega e Barroso,30,1711,1665
Alto Tâmega e Barroso,35,1851,1907
Alto Tâmega e Barroso,40,2197,2283
Alto Tâmega e Barroso,45,2626,2664
Alto Tâmega e Barroso,50,2696,2616
Alto Tâmega e Barroso,55,2923,3241
Alto Tâmega e Barroso,60,3410,3723
Alto Tâmega e Barroso,65,3653,3828
Alto Tâmega e Barroso,70,3374,3703
Alto Tâmega e Barroso,75,2835,3353
Alto Tâmega e Barroso,80,1849,2665
Alto Tâmega e Barroso,85,1849,3288
Tâmega e Sousa,0,7836,7203
Tâmega e Sousa,5,8458,7936
Tâmega e Sousa,10,9416,9112
Tâmega e Sousa,15,11165,10655
Tâmega e Sousa,20,12949,12216
Tâmega e Sousa,25,12624,11974
Tâmega e Sousa,30,11845,11403
Tâmega e Sousa,35,11699,12096
Tâmega e Sousa,40,13232,14097
Tâmega e Sousa,45,15356,16376
Tâmega e Sousa,50,15727,17186
Tâmega e Sousa,55,15836,17264
Tâmega e Sousa,60,15009,16235
Tâmega e Sousa,65,12270,13945
Tâmega e Sousa,70,9826,11143
Tâmega e Sousa,75,7076,8750
Tâmega e Sousa,80,4299,6249
Tâmega e Sousa,85,3885,7000
Douro,0,2738,2761
Douro,5,3136,3041
Douro,10,3561,3514
Douro,15,4127,3921
Douro,20,4850,4630
Douro,25,4640,4193
Douro,30,4214,4146
Douro,35,4356,4644
Douro,40,5458,5882
Douro,45,6276,6541
Douro,50,6437,6778
Douro,55,6799,7365
Douro,60,7432,7959
Douro,65,6958,7612
Douro,70,6134,6677
Douro,75,4649,5992
Douro,80,3254,4758
Douro,85,2987,5775
Terras de Trás-os-Montes,0,1654,1490
Terras de Trás-os-Montes,5,1710,1651
Terras de Trás-os-Montes,10,1858,1823
