NUTS3,Idade,Sexo,Populacao,PctNUTS3,PctNac
Alentejo Central,0,Homens,3025,-0.01971005,-0.020782584
Alentejo Central,5,Homens,3215,-0.020948037,-0.021581477
Alentejo Central,10,Homens,3474,-0.022635608,-0.023265825
Alentejo Central,15,Homens,3756,-0.024473041,-0.025301967
Alentejo Central,20,Homens,4001,-0.026069392,-0.027309068
Alentejo Central,25,Homens,3788,-0.024681544,-0.027437549
Alentejo Central,30,Homens,3835,-0.024987783,-0.028201948
Alentejo Central,35,Homens,4181,-0.027242222,-0.029039752
Alentejo Central,40,Homens,4918,-0.032044307,-0.03308713
Alentejo Central,45,Homens,5630,-0.036683499,-0.037074733
Alentejo Central,50,Homens,5329,-0.034722267,-0.035089813
Alentejo Central,55,Homens,5397,-0.035165336,-0.03332708
Alentejo Central,60,Homens,5403,-0.035204431,-0.032334103
Alentejo Central,65,Homens,4853,-0.031620785,-0.029793436
Alentejo Central,70,Homens,4309,-0.028076234,-0.026515814
Alentejo Central,75,Homens,3308,-0.021553999,-0.021200264
Alentejo Central,80,Homens,2535,-0.016517348,-0.014144819
Alentejo Central,85,Homens,2871,-0.01870663,-0.012303888
Alentejo Central,0,Mulheres,2837,0.018485095,0.019610561
Alentejo Central,5,Mulheres,2994,0.019508063,0.020541788
Alentejo Central,10,Mulheres,3250,0.021176087,0.02239475
Alentejo Central,15,Mulheres,3521,0.022941847,0.024333333
Alentejo Central,20,Mulheres,3751,0.024440463,0.026324926
Alentejo Central,25,Mulheres,3569,0.023254602,0.026175298
Alentejo Central,30,Mulheres,3638,0.023704186,0.027798648
Alentejo Central,35,Mulheres,4154,0.027066297,0.029770785
Alentejo Central,40,Mulheres,5002,0.032591627,0.035139533
Alentejo Central,45,Mulheres,6014,0.039185535,0.040038249
Alentejo Central,50,Mulheres,5760,0.037530542,0.038463021
Alentejo Central,55,Mulheres,5710,0.037204756,0.037622585
Alentejo Central,60,Mulheres,5806,0.037830266,0.0369158
Alentejo Central,65,Mulheres,5390,0.035119726,0.034615835
Alentejo Central,70,Mulheres,5075,0.033067275,0.031675816
Alentejo Central,75,Mulheres,4549,0.029640007,0.0273836
Alentejo Central,80,Mulheres,3739,0.024362274,0.02005249
Alentejo Central,85,Mulheres,4888,0.031848835,0.023351729
Alentejo Litoral,0,Homens,2053,-0.020248945,-0.020782584
Alentejo Litoral,5,Homens,1977,-0.019499349,-0.021581477
Alentejo Litoral,10,Homens,2171,-0.02141279,-0.023265825
Alentejo Litoral,15,Homens,2264,-0.022330059,-0.025301967
Alentejo Litoral,20,Homens,2524,-0.024894465,-0.027309068
Alentejo Litoral,25,Homens,3308,-0.032627135,-0.027437549
Alentejo Litoral,30,Homens,3678,-0.036276482,-0.028201948
Alentejo Litoral,35,Homens,3892,-0.038387186,-0.029039752
Alentejo Litoral,40,Homens,4090,-0.04034008,-0.03308713
Alentejo Litoral,45,Homens,4108,-0.040517615,-0.037074733
Alentejo Litoral,50,Homens,3448,-0.034007969,-0.035089813
Alentejo Litoral,55,Homens,3096,-0.030536158,-0.03332708
Alentejo Litoral,60,Homens,3480,-0.034323589,-0.032334103
Alentejo Litoral,65,Homens,3467,-0.034195368,-0.029793436
Alentejo Litoral,70,Homens,3030,-0.029885194,-0.026515814
Alentejo Litoral,75,Homens,2373,-0.023405137,-0.021200264
Alentejo Litoral,80,Homens,1650,-0.016274115,-0.014144819
Alentejo Litoral,85,Homens,1634,-0.016116306,-0.012303888
Alentejo Litoral,0,Mulheres,1905,0.018789206,0.019610561
Alentejo Litoral,5,Mulheres,1839,0.018138241,0.020541788
Alentejo Litoral,10,Mulheres,2164,0.021343749,0.02239475
Alentejo Litoral,15,Mulheres,2165,0.021353612,0.024333333
Alentejo Litoral,20,Mulheres,2076,0.020475796,0.026324926
Alentejo Litoral,25,Mulheres,2100,0.02071251,0.026175298
Alentejo Litoral,30,Mulheres,2469,0.024351994,0.027798648
Alentejo Litoral,35,Mulheres,2825,0.027863258,0.029770785
Alentejo Litoral,40,Mulheres,3455,0.034077011,0.035139533
Alentejo Litoral,45,Mulheres,3668,0.036177851,0.040038249
Alentejo Litoral,50,Mulheres,3067,0.030250128,0.038463021
Alentejo Litoral,55,Mulheres,3182,0.031384385,0.037622585
Alentejo Litoral,60,Mulheres,3672,0.036217304,0.0369158
Alentejo Litoral,65,Mulheres,3637,0.035872095,0.034615835
Alentejo Litoral,70,Mulheres,3066,0.030240265,0.031675816
Alentejo Litoral,75,Mulheres,2846,0.028070383,0.0273836
Alentejo Litoral,80,Mulheres,2255,0.022241291,0.02005249
Alentejo Litoral,85,Mulheres,2754,0.027162978,0.023351729
Algarve,0,Homens,10917,-0.022550101,-0.020782584
Algarve,5,Homens,11205,-0.023144992,-0.021581477
Algarve,10,Homens,11832,-0.02444012,-0.023265825
Algarve,15,Homens,12506,-0.025832332,-0.025301967
Algarve,20,Homens,12303,-0.025413016,-0.027309068
Algarve,25,Homens,12492,-0.025803413,-0.027437549
Algarve,30,Homens,13352,-0.027579825,-0.028201948
Algarve,35,Homens,14564,-0.030083326,-0.029039752
Algarve,40,Homens,16391,-0.033857168,-0.03308713
Algarve,45,Homens,18240,-0.037676453,-0.037074733
Algarve,50,Homens,16778,-0.034656554,-0.035089813
Algarve,55,Homens,15589,-0.032200561,-0.03332708
Algarve,60,Homens,15376,-0.031760589,-0.032334103
Algarve,65,Homens,15288,-0.031578817,-0.029793436
Algarve,70,Homens,14080,-0.029083578,-0.026515814
Algarve,75,Homens,11189,-0.023111943,-0.021200264
Algarve,80,Homens,7099,-0.014663659,-0.014144819
Algarve,85,Homens,5842,-0.012067206,-0.012303888
Algarve,0,Mulheres,10570,0.02183334,0.019610561
Algarve,5,Mulheres,10770,0.022246459,0.020541788
Algarve,10,Mulheres,11198,0.023130533,0.02239475
Algarve,15,Mulheres,11887,0.024553728,0.024333333
Algarve,20,Mulheres,11602,0.023965034,0.026324926
Algarve,25,Mulheres,11579,0.023917525,0.026175298
Algarve,30,Mulheres,13112,0.027084082,0.027798648
Algarve,35,Mulheres,14717,0.030399362,0.029770785
Algarve,40,Mulheres,17662,0.03648254,0.035139533
Algarve,45,Mulheres,19448,0.040171692,0.040038249
Algarve,50,Mulheres,18315,0.037831373,0.038463021
Algarve,55,Mulheres,17584,0.036321423,0.037622585
Algarve,60,Mulheres,17364,0.035866992,0.0369158
Algarve,65,Mulheres,16605,0.034299206,0.034615835
Algarve,70,Mulheres,15154,0.031302027,0.031675816
Algarve,75,Mulheres,12363,0.025536951,0.0273836
Algarve,80,Mulheres,8925,0.018435436,0.02005249
Algarve,85,Mulheres,10224,0.021118644,0.023351729
Alto Alentejo,0,Homens,1819,-0.017476773,-0.020782584
Alto Alentejo,5,Homens,2077,-0.019955611,-0.021581477
Alto Alentejo,10,Homens,2274,-0.021848368,-0.023265825
Alto Alentejo,15,Homens,2492,-0.023942891,-0.025301967
Alto Alentejo,20,Homens,2645,-0.0254129,-0.027309068
Alto Alentejo,25,Homens,2400,-0.023058964,-0.027437549
Alto Alentejo,30,Homens,2333,-0.022415234,-0.028201948
Alto Alentejo,35,Homens,2552,-0.024519365,-0.029039752
Alto Alentejo,40,Homens,3078,-0.029573121,-0.03308713
Alto Alentejo,45,Homens,3565,-0.034252169,-0.037074733
Alto Alentejo,50,Homens,3626,-0.034838251,-0.035089813
Alto Alentejo,55,Homens,3577,-0.034367464,-0.03332708
Alto Alentejo,60,Homens,3810,-0.036606105,-0.032334103
Alto Alentejo,65,Homens,3512,-0.03374295,-0.029793436
Alto Alentejo,70,Homens,3071,-0.029505866,-0.026515814
Alto Alentejo,75,Homens,2668,-0.025633881,-0.021200264
Alto Alentejo,80,Homens,1824,-0.017524812,-0.014144819
Alto Alentejo,85,Homens,2176,-0.020906794,-0.012303888
Alto Alentejo,0,Mulheres,1796,0.017255791,0.019610561
Alto Alentejo,5,Mulheres,2036,0.019561688,0.020541788
Alto Alentejo,10,Mulheres,2234,0.021464052,0.02239475
Alto Alentejo,15,Mulheres,2356,0.022636216,0.024333333
Alto Alentejo,20,Mulheres,2558,0.024577012,0.026324926
Alto Alentejo,25,Mulheres,2326,0.022347979,0.026175298
Alto Alentejo,30,Mulheres,2245,0.021569739,0.027798648
Alto Alentejo,35,Mulheres,2588,0.024865249,0.029770785
Alto Alentejo,40,Mulheres,3272,0.031437054,0.035139533
Alto Alentejo,45,Mulheres,3814,0.036644536,0.040038249
Alto Alentejo,50,Mulheres,3742,0.035952768,0.038463021
Alto Alentejo,55,Mulheres,3878,0.037259442,0.037622585
Alto Alentejo,60,Mulheres,4092,0.039315533,0.0369158
Alto Alentejo,65,Mulheres,3829,0.036788655,0.034615835
Alto Alentejo,70,Mulheres,3625,0.034828643,0.031675816
Alto Alentejo,75,Mulheres,3401,0.032676473,0.0273836
Alto Alentejo,80,Mulheres,2824,0.027132714,0.02005249
Alto Alentejo,85,Mulheres,3966,0.038104938,0.023351729
Alto Minho,0,Homens,3964,-0.016924621,-0.020782584
Alto Minho,5,Homens,4395,-0.01876481,-0.021581477
Alto Minho,10,Homens,4797,-0.020481182,-0.023265825
Alto Minho,15,Homens,5447,-0.02325641,-0.025301967
Alto Minho,20,Homens,5958,-0.025438166,-0.027309068
Alto Minho,25,Homens,6056,-0.025856585,-0.027437549
Alto Minho,30,Homens,5848,-0.024968512,-0.028201948
Alto Minho,35,Homens,6291,-0.026859936,-0.029039752
Alto Minho,40,Homens,7334,-0.03131311,-0.03308713
Alto Minho,45,Homens,8236,-0.035164272,-0.037074733
Alto Minho,50,Homens,8087,-0.034528105,-0.035089813
Alto Minho,55,Homens,7642,-0.032628141,-0.03332708
Alto Minho,60,Homens,8016,-0.034224964,-0.032334103
Alto Minho,65,Homens,7955,-0.03396452,-0.029793436
Alto Minho,70,Homens,7194,-0.030715368,-0.026515814
Alto Minho,75,Homens,6046,-0.025813889,-0.021200264
Alto Minho,80,Homens,4106,-0.017530901,-0.014144819
Alto Minho,85,Homens,3684,-0.015729138,-0.012303888
Alto Minho,0,Mulheres,3816,0.016292722,0.019610561
Alto Minho,5,Mulheres,4100,0.017505284,0.020541788
Alto Minho,10,Mulheres,4713,0.020122537,0.02239475
Alto Minho,15,Mulheres,5210,0.022244519,0.024333333
Alto Minho,20,Mulheres,5659,0.024161561,0.026324926
Alto Minho,25,Mulheres,5432,0.023192366,0.026175298
Alto Minho,30,Mulheres,5667,0.024195718,0.027798648
Alto Minho,35,Mulheres,6253,0.026697692,0.029770785
Alto Minho,40,Mulheres,7846,0.033499135,0.035139533
Alto Minho,45,Mulheres,8860,0.037828491,0.040038249
Alto Minho,50,Mulheres,8591,0.036679974,0.038463021
Alto Minho,55,Mulheres,8943,0.038182866,0.037622585
Alto Minho,60,Mulheres,9252,0.039502167,0.0369158
