Party,District,Position,Name,RandX,RandY,PosParty,PopDistrict,Index
PCP-PEV,Lisboa,1, Paulo Alexandre Cantigas Raimundo,0,0,1,11,1001
PCP-PEV,Lisboa,2, António Filipe Gaião Rodrigues,0,0,1,11,1002
PCP-PEV,Porto,1, Manuel Alfredo da Rocha Maia,0,0,1,13,1003
PCP-PEV,Setúbal,1, Paula Alexandra Sobral Guerreiro Santos Barbosa,0,0,1,15,1004
BE,Lisboa,1, Mariana Rodrigues Mortágua,0,0,2,11,1005
BE,Lisboa,2, Fabian Filipe Figueiredo,0,0,2,11,1006
BE,Porto,1, Marisa Isabel dos Santos Matias,0,0,2,13,1007
BE,Porto,2, José Borges de Araújo de Moura Soeiro,0,0,2,13,1008
BE,Setúbal,1, Joana Rodrigues Mortágua,0,0,2,15,1009
L,Lisboa,1, Rui Miguel Marcelino Tavares Pereira,0,0,3,11,1010
L,Lisboa,2, Isabel Rendeiro Marques Mendes Lopes,0,0,3,11,1011
L,Porto,1, Eduardo Jorge Costa Pinto,0,0,3,13,1012
L,Setúbal,1, Paulo Jorge Velez Muacho,0,0,3,15,1013
PS,Aveiro,1, Pedro Nuno de Oliveira Santos,0,0,4,1,1014
PS,Aveiro,2, Cláudia Maria Cruz Santos,0,0,4,1,1015
PS,Aveiro,3, Carlos Filipe de Andrade Neto Brandão,0,0,4,1,1016
PS,Aveiro,4, Hugo Daniel Matos Oliveira,0,0,4,1,1017
PS,Aveiro,5, Susana Alexandra Lopes Correia,0,0,4,1,1018
PS,Beja,1, Nelson Domingos Brito,0,0,4,2,1019
PS,Braga,1, José Luis Pereira Carneiro,0,0,4,3,1020
PS,Braga,2, Palmira Maciel Fernandes da Costa,0,0,4,3,1021
PS,Braga,3, Pedro Miguel Pereira de Sousa,0,0,4,3,1022
PS,Braga,4, Ricardo Jorge Castro Ribeiro da Costa,0,0,4,3,1023
PS,Braga,5, Irene Manuela Ferreira da Costa,0,0,4,3,1024
PS,Braga,6, Gilberto António Sousa dos Anjos,0,0,4,3,1025
PS,Bragança,1, Isabel Cristina Fernandes Rodrigues Ferreira,0,0,4,4,1026
PS,Castelo Branco,1, Nuno Jorge Cardona Fazenda de Almeida,0,0,4,5,1027
