DICOFRE,Freguesia,Concelho,Distrito,Area_ha,Des_Simpli,População,X,Y,Meridian
010103,Aguada de Cima,Águeda,Aveiro,2839.31,Aguada de Cima,3893,-23376.4208,95067.49797,0
010109,Fermentelos,Águeda,Aveiro,858.2,Fermentelos,3028,-33491.86361,99637.41294,-1
010112,Macinhata do Vouga,Águeda,Aveiro,3195.44,Macinhata do Vouga,3210,-25191.51111,110982.5917,-1
010121,União das freguesias de Águeda e Borralha,Águeda,Aveiro,3602.93,Águeda e Borralha,13705,-24009.77557,100641.937,0
010122,União das freguesias de Barrô e Aguada de Baixo,Águeda,Aveiro,1019.01,Barrô e Aguada de Baixo,3088,-27644.86212,95190.82814,-1
010123,União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão,Águeda,Aveiro,8809.03,Belazaima do Chão, Castanheira do Vouga e Agadão,1415,-16625.85904,98002.16904,0
010124,União das freguesias de Recardães e Espinhel,Águeda,Aveiro,1991.78,Recardães e Espinhel,5755,-29137.23085,99350.34656,-1
010125,União das freguesias de Travassô e Óis da Ribeira,Águeda,Aveiro,1112.19,Travassô e Óis da Ribeira,2203,-31264.79967,102315.6311,-1
010127,União das freguesias do Préstimo e Macieira de Alcoba,Águeda,Aveiro,4172.64,Préstimo e Macieira de Alcoba,703,-16218.55775,105922.6711,0
010202,Alquerubim,Albergaria-a-Velha,Aveiro,1535.86,Alquerubim,2233,-31114.71434,107241.9105,-1
010203,Angeja,Albergaria-a-Velha,Aveiro,2125.17,Angeja,1875,-37218.58298,113510.7888,-1
010204,Branca,Albergaria-a-Velha,Aveiro,3028.86,Branca,5427,-30163.6123,119683.5605,-1
010206,Ribeira de Fráguas,Albergaria-a-Velha,Aveiro,2674.54,Ribeira de Fráguas,1494,-25598.57755,119640.4751,-1
010209,Albergaria-a-Velha e Valmaior,Albergaria-a-Velha,Aveiro,4699.64,Albergaria-a-Velha e Valmaior,11058,-29294.84805,113819.3784,-1
010210,São João de Loure e Frossos,Albergaria-a-Velha,Aveiro,1818.42,São João de Loure e Frossos,2753,-34134.43865,108543.209,-1
010304,Avelãs de Caminho,Anadia,Aveiro,644.87,Avelãs de Caminho,1294,-26213.16498,90530.00914,-1
010305,Avelãs de Cima,Anadia,Aveiro,4057.8,Avelãs de Cima,1953,-20792.56508,90778.8894,0
010307,Moita,Anadia,Aveiro,3417.61,Moita,2206,-20249.14336,86344.57654,0
010309,Sangalhos,Anadia,Aveiro,1690.42,Sangalhos,3835,-28908.11243,91031.51915,-1
010310,São Lourenço do Bairro,Anadia,Aveiro,1538.31,São Lourenço do Bairro,2288,-31489.07493,86127.9002,-1
010312,Vila Nova de Monsarros,Anadia,Aveiro,2372.04,Vila Nova de Monsarros,1545,-21891.72254,82686.01916,0
010313,Vilarinho do Bairro,Anadia,Aveiro,2556.33,Vilarinho do Bairro,2491,-35743.38102,84911.39926,-1
010316,União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas,Anadia,Aveiro,2206.42,Amoreira da Gândara, Paredes do Bairro e Ancas,2429,-32311.57085,88752.58866,-1
010317,União das freguesias de Arcos e Mogofores,Anadia,Aveiro,1439.3,Arcos e Mogofores,6239,-26276.17997,86981.06186,-1
010318,União das freguesias de Tamengos, Aguim e Óis do Bairro,Anadia,Aveiro,1740.39,Tamengos, Aguim e Óis do Bairro,3252,-28094.51788,83495.91395,-1
010402,Alvarenga,Arouca,Aveiro,3876.6,Alvarenga,1057,-992.8624869,144245.0036,0
010407,Chave,Arouca,Aveiro,1090.53,Chave,1270,-18340.21541,137349.1297,0
010409,Escariz,Arouca,Aveiro,1798.46,Escariz,2111,-21525.69457,141382.3634,0
010411,Fermedo,Arouca,Aveiro,1110.53,Fermedo,1261,-21236.99206,144051.7776,0
010413,Mansores,Arouca,Aveiro,1407.54,Mansores,1100,-19426.14463,140661.4402,0
010414,Moldes,Arouca,Aveiro,2800.51,Moldes,1126,-7140.63265,137371.2153,0
010415,Rossas,Arouca,Aveiro,1111.18,Rossas,1491,-15361.12358,137173.2522,0
010416,Santa Eulália,Arouca,Aveiro,2304.76,Santa Eulália,2120,-11859.09457,140883.6767,0
010417,São Miguel do Mato,Arouca,Aveiro,1710.47,São Miguel do Mato,550,-21202.80926,145897.8686,0
010418,Tropeço,Arouca,Aveiro,1783.87,Tropeço,1086,-16001.60157,141936.0122,0
010419,Urrô,Arouca,Aveiro,1078.75,Urrô,900,-13393.50981,136616.6228,0
010420,Várzea,Arouca,Aveiro,179.1,Várzea,534,-14557.06423,139501.7351,0
