Country,Year,Age,PopMale,PopFemale,PopTotal,RelMasc
Portugal,1950,0,99577,93035,192612,107.0318
Portugal,1950,1,96148,91627,187775,104.9341
Portugal,1950,2,89627,85899,175526,104.34
Portugal,1950,3,91402,87692,179094,104.2307
Portugal,1950,4,87462,83775,171237,104.4011
Portugal,1950,5,85505,82596,168101,103.522
Portugal,1950,6,84283,81761,166044,103.0846
Portugal,1950,7,77068,73720,150788,104.5415
Portugal,1950,8,73408,70898,144306,103.5403
Portugal,1950,9,76866,74267,151133,103.4995
Portugal,1950,10,77990,75112,153102,103.8316
Portugal,1950,11,84678,81831,166509,103.4791
Portugal,1950,12,80613,79213,159826,101.7674
Portugal,1950,13,84793,81559,166352,103.9652
Portugal,1950,14,81424,80431,161855,101.2346
Portugal,1950,15,81265,81233,162498,100.0394
Portugal,1950,16,82519,82005,164524,100.6268
Portugal,1950,17,85558,86138,171696,99.3267
Portugal,1950,18,76204,77244,153448,98.6536
Portugal,1950,19,75290,79903,155193,94.2267
Portugal,1950,20,78527,72354,150881,108.5317
Portugal,1950,21,78982,79109,158091,99.8395
Portugal,1950,22,74881,75384,150265,99.3327
Portugal,1950,23,75470,76202,151672,99.0394
Portugal,1950,24,72664,75257,147921,96.5545
Portugal,1950,25,70550,73558,144108,95.9107
Portugal,1950,26,68197,70741,138938,96.4038
Portugal,1950,27,67881,69939,137820,97.0574
Portugal,1950,28,59634,60439,120073,98.6681
Portugal,1950,29,66159,69808,135967,94.7728
Portugal,1950,30,46875,47005,93880,99.7234
Portugal,1950,31,50774,53796,104570,94.3825
Portugal,1950,32,52665,55508,108173,94.8782
Portugal,1950,33,51753,55459,107212,93.3176
Portugal,1950,34,54923,58359,113282,94.1123
Portugal,1950,35,55292,59603,114895,92.7671
Portugal,1950,36,54399,58382,112781,93.1777
Portugal,1950,37,58223,63356,121579,91.8982
Portugal,1950,38,52605,55934,108539,94.0483
Portugal,1950,39,60676,67120,127796,90.3993
Portugal,1950,40,44475,47085,91560,94.4568
Portugal,1950,41,52691,57832,110523,91.1105
Portugal,1950,42,46800,53228,100028,87.9236
Portugal,1950,43,45456,52779,98235,86.1252
Portugal,1950,44,47206,53954,101160,87.493
Portugal,1950,45,42287,50094,92381,84.4153
Portugal,1950,46,41156,48921,90077,84.1275
Portugal,1950,47,43661,53128,96789,82.1808
Portugal,1950,48,38819,44991,83810,86.2817
Portugal,1950,49,47132,58004,105136,81.2565
Portugal,1950,50,31294,36052,67346,86.8024
Portugal,1950,51,35832,43812,79644,81.7858
Portugal,1950,52,32266,39703,71969,81.2684
Portugal,1950,53,31351,38909,70260,80.5752
Portugal,1950,54,32793,40913,73706,80.153
Portugal,1950,55,31268,39485,70753,79.1896
Portugal,1950,56,28595,35922,64517,79.603
Portugal,1950,57,30626,39782,70408,76.9846
Portugal,1950,58,25705,31868,57573,80.6609
Portugal,1950,59,33495,47019,80514,71.2372
Portugal,1950,60,21594,26630,48224,81.089
Portugal,1950,61,26201,34188,60389,76.638
Portugal,1950,62,24424,32204,56628,75.8415
Portugal,1950,63,22977,31477,54454,72.9962
Portugal,1950,64,22944,32857,55801,69.8299
Portugal,1950,65,22169,30889,53058,71.7699
Portugal,1950,66,18966,26349,45315,71.98
Portugal,1950,67,19269,28213,47482,68.2983
Portugal,1950,68,15188,20272,35460,74.9211
Portugal,1950,69,21339,32484,53823,65.6908
Portugal,1950,70,12041,15947,27988,75.5064
Portugal,1950,71,14668,21188,35856,69.2279
Portugal,1950,72,13447,18381,31828,73.1571
Portugal,1950,73,11963,17369,29332,68.8756
Portugal,1950,74,12194,19717,31911,61.8451
Portugal,1950,75,10204,15783,25987,64.6518
Portugal,1950,76,8574,13247,21821,64.7241
Portugal,1950,77,8499,14131,22630,60.1444
Portugal,1950,78,5448,8593,14041,63.4004
Portugal,1950,79,7522,14120,21642,53.272
Portugal,1950,80,5149,9715,14864,53.0005
Portugal,1950,81,4262,8371,12633,50.9139
Portugal,1950,82,3622,7463,11085,48.5328
Portugal,1950,83,3003,6407,9410,46.8706
Portugal,1950,84,2431,5450,7881,44.6055
Portugal,1950,85,1913,4628,6541,41.3354
Portugal,1950,86,1488,3773,5261,39.4381
Portugal,1950,87,1153,3033,4186,38.0152
Portugal,1950,88,913,2508,3421,36.4035
Portugal,1950,89,723,2050,2773,35.2683
Portugal,1950,90,522,1574,2096,33.1639
Portugal,1950,91,371,1174,1545,31.6014
Portugal,1950,92,252,929,1181,27.1259
Portugal,1950,93,182,702,884,25.9259
Portugal,1950,94,140,576,716,24.3056
Portugal,1950,95,113,436,549,25.9174
Portugal,1950,96,90,299,389,30.1003
Portugal,1950,97,54,226,280,23.8938
Portugal,1950,98,38,150,188,25.3333
Portugal,1950,99,25,94,119,26.5957
Portugal,1950,100,32,202,234,15.8416
Portugal,1951,0,89974,85091,175065,105.7386
Portugal,1951,1,91154,86526,177680,105.3487
Portugal,1951,2,92088,88779,180867,103.7272
Portugal,1951,3,89323,86223,175546,103.5953
Portugal,1951,4,91541,88402,179943,103.5508
Portugal,1951,5,86773,83414,170187,104.0269
Portugal,1951,6,85280,82912,168192,102.856
Portugal,1951,7,84533,82147,166680,102.9045
Portugal,1951,8,77068,73704,150772,104.5642
Portugal,1951,9,73309,70866,144175,103.4474
