Year,Age,RelMasc
1950,0,1070
1950,1,1049
1950,2,1043
1950,3,1042
1950,4,1044
1950,5,1035
1950,6,1031
1950,7,1045
1950,8,1035
1950,9,1035
1950,10,1038
1950,11,1035
1950,12,1018
1950,13,1040
1950,14,1012
1950,15,1000
1950,16,1006
1950,17,993
1950,18,987
1950,19,942
1950,20,1085
1950,21,998
1950,22,993
1950,23,990
1950,24,966
1950,25,959
1950,26,964
1950,27,971
1950,28,987
1950,29,948
1950,30,997
1950,31,944
1950,32,949
1950,33,933
1950,34,941
1950,35,928
1950,36,932
1950,37,919
1950,38,940
1950,39,904
1950,40,945
1950,41,911
1950,42,879
1950,43,861
1950,44,875
1950,45,844
1950,46,841
1950,47,822
1950,48,863
1950,49,813
1950,50,868
1950,51,818
1950,52,813
1950,53,806
1950,54,802
1950,55,792
1950,56,796
1950,57,770
1950,58,807
1950,59,712
1950,60,811
1950,61,766
1950,62,758
1950,63,730
1950,64,698
1950,65,718
1950,66,720
1950,67,683
1950,68,749
1950,69,657
1950,70,755
1950,71,692
1950,72,732
1950,73,689
1950,74,618
1950,75,647
1950,76,647
1950,77,601
1950,78,634
1950,79,533
1950,80,530
1950,81,509
1950,82,485
1950,83,469
1950,84,446
1950,85,413
1950,86,394
1950,87,380
1950,88,364
1950,89,353
1950,90,332
1950,91,316
1950,92,271
1950,93,259
1950,94,243
1950,95,259
1950,96,301
1950,97,239
1950,98,253
1950,99,266
1950,100,158
1951,0,1057
1951,1,1053
1951,2,1037
1951,3,1036
1951,4,1036
1951,5,1040
1951,6,1029
1951,7,1029
1951,8,1046
1951,9,1034
1951,10,1030
1951,11,1038
1951,12,1033
1951,13,1014
1951,14,1040
1951,15,1007
1951,16,994
1951,17,1003
1951,18,989
1951,19,980
1951,20,928
1951,21,1089
1951,22,995
1951,23,990
1951,24,985
1951,25,957
1951,26,957
1951,27,960
1951,28,970
1951,29,987
1951,30,950
1951,31,977
1951,32,942
1951,33,943
1951,34,928
1951,35,939
1951,36,924
1951,37,929
1951,38,916
1951,39,937
1951,40,902
1951,41,941
1951,42,909
1951,43,876
1951,44,857
1951,45,877
1951,46,842
1951,47,837
1951,48,818
1951,49,858
1951,50,808
1951,51,864
1951,52,815
1951,53,810
1951,54,801
1951,55,795
1951,56,785
1951,57,790
1951,58,766
1951,59,804
1951,60,707
1951,61,806
1951,62,761
1951,63,753
1951,64,722
1951,65,687
1951,66,711
1951,67,711
1951,68,673
1951,69,739
1951,70,648
1951,71,744
1951,72,679
1951,73,721
1951,74,677
1951,75,608
1951,76,632
1951,77,637
1951,78,588
1951,79,621
1951,80,528
1951,81,515
1951,82,492
1951,83,467
1951,84,445
1951,85,423
1951,86,402
1951,87,379
1951,88,356
1951,89,339
1951,90,331
1951,91,311
1951,92,289
1951,93,251
1951,94,245
1951,95,232
1951,96,225
1951,97,242
1951,98,213
1951,99,220
1951,100,168
1952,0,1067
1952,1,1049
1952,2,1052
1952,3,1036
1952,4,1032
1952,5,1032
1952,6,1034
1952,7,1023
1952,8,1023
1952,9,1036
1952,10,1025
1952,11,1019
1952,12,1021
1952,13,1023
1952,14,1005
1952,15,1030
1952,16,999
1952,17,988
1952,18,996
1952,19,985
1952,20,978
1952,21,927
1952,22,1075
1952,23,987
1952,24,983
1952,25,979
1952,26,954
1952,27,953
1952,28,957
1952,29,966
1952,30,983
1952,31,947
1952,32,976
1952,33,940
1952,34,940
1952,35,926
1952,36,938
1952,37,924
1952,38,928
1952,39,913
1952,40,936
1952,41,898
1952,42,940
1952,43,907
1952,44,875
1952,45,854
1952,46,872
1952,47,840
1952,48,836
1952,49,817
1952,50,857
1952,51,802
1952,52,863
1952,53,813
1952,54,807
1952,55,798
1952,56,790
1952,57,781
1952,58,787
1952,59,763
1952,60,799
1952,61,704
1952,62,803
1952,63,757
1952,64,747
1952,65,717
1952,66,682
1952,67,705
1952,68,704
1952,69,665
1952,70,729
1952,71,640
1952,72,730
1952,73,667
1952,74,706
1952,75,660
1952,76,594
1952,77,613
1952,78,615
1952,79,571
1952,80,528
1952,81,511
1952,82,496
1952,83,470
1952,84,447
1952,85,427
1952,86,402
1952,87,379
1952,88,352
1952,89,334
1952,90,330
1952,91,320
1952,92,295
1952,93,277
1952,94,239
1952,95,232
1952,96,223
1952,97,191
1952,98,189
1952,99,143
1952,100,164
1953,0,1068
1953,1,1060
1953,2,1046
1953,3,1050
1953,4,1035
1953,5,1029
1953,6,1029
1953,7,1029
1953,8,1017
1953,9,1017
1953,10,1026
1953,11,1015
1953,12,1008
1953,13,1005
1953,14,1013
1953,15,997
1953,16,1020
1953,17,991
1953,18,982
1953,19,988
1953,20,979
1953,21,976
1953,22,926
1953,23,1062
1953,24,980
1953,25,975
1953,26,974
1953,27,951
1953,28,950
1953,29,954
1953,30,962
1953,31,979
1953,32,944
1953,33,975
1953,34,938
1953,35,937
1953,36,925
1953,37,937
1953,38,924
1953,39,928
1953,40,911
1953,41,935
1953,42,894
1953,43,939
1953,44,905
1953,45,875
1953,46,853
1953,47,867
1953,48,838
1953,49,836
1953,50,816
1953,51,857
1953,52,796
1953,53,862
1953,54,812
1953,55,806
1953,56,795
1953,57,785
1953,58,777
1953,59,784
1953,60,759
1953,61,795
1953,62,699
1953,63,797
1953,64,753
1953,65,743
1953,66,714
1953,67,675
1953,68,698
1953,69,698
1953,70,659
1953,71,722
1953,72,630
1953,73,713
1953,74,654
1953,75,690
1953,76,642
1953,77,578
1953,78,593
1953,79,597
1953,80,523
1953,81,515
1953,82,494
1953,83,480
1953,84,451
1953,85,427
1953,86,407
1953,87,382
1953,88,355
1953,89,330
1953,90,318
1953,91,319
1953,92,309
1953,93,271
1953,94,256
1953,95,233
1953,96,245
1953,97,229
1953,98,156
1953,99,140
1953,100,144
1954,0,1055
1954,1,1058
1954,2,1057
1954,3,1043
1954,4,1049
1954,5,1033
1954,6,1025
1954,7,1025
1954,8,1023
1954,9,1011
1954,10,1011
1954,11,1017
1954,12,1005
1954,13,997
1954,14,989
1954,15,1003
1954,16,989
1954,17,1010
1954,18,982
1954,19,976
1954,20,981
1954,21,974
1954,22,974
1954,23,925
1954,24,1048
1954,25,973
1954,26,968
1954,27,968
1954,28,948
1954,29,947
1954,30,952
1954,31,959
1954,32,975
1954,33,941
1954,34,975
1954,35,937
1954,36,935
1954,37,924
1954,38,936
1954,39,924
1954,40,927
1954,41,909
1954,42,934
1954,43,890
1954,44,939
1954,45,903
1954,46,875
1954,47,852
1954,48,863
1954,49,836
1954,50,835
1954,51,816
1954,52,858
1954,53,790
1954,54,861
1954,55,811
1954,56,803
1954,57,791
1954,58,780
1954,59,774
1954,60,781
1954,61,756
1954,62,790
1954,63,695
1954,64,792
1954,65,749
1954,66,737
1954,67,708
1954,68,669
1954,69,691
1954,70,692
1954,71,654
1954,72,713
1954,73,620
1954,74,695
1954,75,641
1954,76,675
1954,77,624
1954,78,566
1954,79,579
1954,80,511
1954,81,506
1954,82,499
1954,83,474
1954,84,452
1954,85,428
1954,86,416
1954,87,394
1954,88,359
1954,89,324
1954,90,302
1954,91,298
1954,92,295
1954,93,282
1954,94,240
1954,95,238
1954,96,229
1954,97,238
1954,98,235
1954,99,180
1954,100,130
1955,0,1059
1955,1,1046
1955,2,1055
1955,3,1055
1955,4,1041
1955,5,1048
1955,6,1032
1955,7,1022
1955,8,1022
1955,9,1017
1955,10,1006
1955,11,1004
1955,12,1007
1955,13,996
1955,14,986
1955,15,973
1955,16,992
1955,17,980
1955,18,999
1955,19,974
1955,20,969
1955,21,973
1955,22,968
1955,23,972
1955,24,924
1955,25,1034
1955,26,965
1955,27,960
1955,28,962
1955,29,944
1955,30,943
1955,31,949
1955,32,955
1955,33,971
1955,34,937
1955,35,974
1955,36,935
1955,37,932
1955,38,923
1955,39,935
1955,40,924
1955,41,926
1955,42,906
1955,43,932
1955,44,886
1955,45,938
1955,46,901
1955,47,874
1955,48,850
1955,49,858
1955,50,834
1955,51,834
1955,52,815
1955,53,858
1955,54,783
1955,55,860
1955,56,809
1955,57,799
1955,58,787
1955,59,775
1955,60,771
1955,61,779
1955,62,751
1955,63,785
1955,64,689
1955,65,787
1955,66,746
1955,67,732
1955,68,704
1955,69,662
1955,70,683
1955,71,686
1955,72,645
1955,73,700
1955,74,608
1955,75,679
1955,76,628
1955,77,656
1955,78,601
1955,79,547
1955,80,530
1955,81,493
1955,82,484
1955,83,475
1955,84,450
1955,85,433
1955,86,413
1955,87,392
1955,88,368
1955,89,341
1955,90,313
1955,91,289
1955,92,280
1955,93,271
1955,94,251
1955,95,207
1955,96,218
1955,97,221
1955,98,203
1955,99,156
1955,100,110
1956,0,1050
1956,1,1052
1956,2,1044
1956,3,1053
1956,4,1053
1956,5,1039
1956,6,1047
1956,7,1031
1956,8,1018
1956,9,1019
1956,10,1012
1956,11,1000
1956,12,998
1956,13,997
1956,14,985
1956,15,975
1956,16,956
1956,17,981
1956,18,971
1956,19,988
1956,20,965
1956,21,962
1956,22,965
1956,23,963
1956,24,970
1956,25,923
1956,26,1019
1956,27,957
1956,28,952
1956,29,956
1956,30,940
1956,31,940
1956,32,946
1956,33,951
1956,34,967
1956,35,934
1956,36,973
1956,37,932
1956,38,928
1956,39,921
1956,40,933
1956,41,923
1956,42,925
1956,43,902
1956,44,930
1956,45,881
1956,46,936
1956,47,898
1956,48,873
1956,49,848
1956,50,853
1956,51,832
1956,52,833
1956,53,813
1956,54,857
1956,55,775
1956,56,857
1956,57,807
1956,58,796
1956,59,782
1956,60,769
1956,61,766
1956,62,774
1956,63,745
1956,64,778
1956,65,683
1956,66,782
1956,67,740
1956,68,724
1956,69,698
1956,70,655
1956,71,675
1956,72,677
1956,73,635
1956,74,688
1956,75,596
1956,76,665
1956,77,612
1956,78,633
1956,79,578
1956,80,540
1956,81,513
1956,82,474
1956,83,466
1956,84,452
1956,85,428
1956,86,413
1956,87,391
1956,88,368
1956,89,343
1956,90,325
1956,91,297
1956,92,272
1956,93,265
1956,94,245
1956,95,227
1956,96,196
1956,97,229
1956,98,261
1956,99,246
1956,100,130
1957,0,1043
1957,1,1044
1957,2,1048
1957,3,1041
1957,4,1051
1957,5,1051
1957,6,1037
1957,7,1046
1957,8,1030
1957,9,1014
1957,10,1015
1957,11,1006
1957,12,994
1957,13,992
1957,14,987
1957,15,975
1957,16,964
1957,17,940
1957,18,970
1957,19,962
1957,20,976
1957,21,956
1957,22,955
1957,23,956
1957,24,956
1957,25,968
1957,26,921
1957,27,1004
1957,28,949
1957,29,944
1957,30,949
1957,31,937
1957,32,936
1957,33,943
1957,34,947
1957,35,963
1957,36,930
1957,37,972
1957,38,930
1957,39,925
1957,40,919
1957,41,932
1957,42,922
1957,43,923
1957,44,898
1957,45,928
1957,46,877
1957,47,935
1957,48,895
1957,49,872
1957,50,846
1957,51,847
1957,52,830
1957,53,831
1957,54,811
1957,55,855
1957,56,767
1957,57,855
1957,58,804
1957,59,792
1957,60,777
1957,61,761
1957,62,761
1957,63,769
1957,64,738
1957,65,770
1957,66,675
1957,67,775
1957,68,734
1957,69,714
1957,70,691
1957,71,647
1957,72,665
1957,73,666
1957,74,622
1957,75,675
1957,76,584
1957,77,647
1957,78,589
1957,79,611
1957,80,535
1957,81,524
1957,82,494
1957,83,446
1957,84,434
1957,85,422
1957,86,397
1957,87,386
1957,88,372
1957,89,349
1957,90,319
1957,91,305
1957,92,283
1957,93,248
1957,94,232
1957,95,239
1957,96,233
1957,97,182
1957,98,242
1957,99,269
1957,100,133
1958,0,1051
1958,1,1039
1958,2,1044
1958,3,1046
1958,4,1039
1958,5,1049
1958,6,1050
1958,7,1035
1958,8,1045
1958,9,1029
1958,10,1010
1958,11,1012
1958,12,1000
1958,13,988
1958,14,985
1958,15,978
1958,16,965
1958,17,953
1958,18,923
1958,19,959
1958,20,953
1958,21,965
1958,22,947
1958,23,947
1958,24,947
1958,25,950
1958,26,966
1958,27,920
1958,28,988
1958,29,940
1958,30,936
1958,31,943
1958,32,933
1958,33,932
1958,34,940
1958,35,943
1958,36,958
1958,37,927
1958,38,971
1958,39,927
1958,40,921
1958,41,917
1958,42,930
1958,43,922
1958,44,922
1958,45,895
1958,46,925
1958,47,872
1958,48,933
1958,49,893
1958,50,870
1958,51,842
1958,52,841
1958,53,826
1958,54,829
1958,55,808
1958,56,853
1958,57,759
1958,58,852
1958,59,800
1958,60,786
1958,61,770
1958,62,754
1958,63,755
1958,64,763
1958,65,732
1958,66,765
1958,67,668
1958,68,769
1958,69,727
1958,70,704
1958,71,683
1958,72,638
1958,73,654
1958,74,657
1958,75,613
1958,76,663
1958,77,568
1958,78,631
1958,79,574
1958,80,533
1958,81,515
1958,82,500
1958,83,472
1958,84,429
1958,85,415
1958,86,402
1958,87,379
1958,88,362
1958,89,348
1958,90,331
1958,91,299
