Year,Age,RelMasc,AgeText
1950,0,1070,000
1950,1,1049,001
1950,2,1043,002
1950,3,1042,003
1950,4,1044,004
1950,5,1035,005
1950,6,1031,006
1950,7,1045,007
1950,8,1035,008
1950,9,1035,009
1950,10,1038,010
1950,11,1035,011
1950,12,1018,012
1950,13,1040,013
1950,14,1012,014
1950,15,1000,015
1950,16,1006,016
1950,17,993,017
1950,18,987,018
1950,19,942,019
1950,20,1085,020
1950,21,998,021
1950,22,993,022
1950,23,990,023
1950,24,966,024
1950,25,959,025
1950,26,964,026
1950,27,971,027
1950,28,987,028
1950,29,948,029
1950,30,997,030
1950,31,944,031
1950,32,949,032
1950,33,933,033
1950,34,941,034
1950,35,928,035
1950,36,932,036
1950,37,919,037
1950,38,940,038
1950,39,904,039
1950,40,945,040
1950,41,911,041
1950,42,879,042
1950,43,861,043
1950,44,875,044
1950,45,844,045
1950,46,841,046
1950,47,822,047
1950,48,863,048
1950,49,813,049
1950,50,868,050
1950,51,818,051
1950,52,813,052
1950,53,806,053
1950,54,802,054
1950,55,792,055
1950,56,796,056
1950,57,770,057
1950,58,807,058
1950,59,712,059
1950,60,811,060
1950,61,766,061
1950,62,758,062
1950,63,730,063
1950,64,698,064
1950,65,718,065
1950,66,720,066
1950,67,683,067
1950,68,749,068
1950,69,657,069
1950,70,755,070
1950,71,692,071
1950,72,732,072
1950,73,689,073
1950,74,618,074
1950,75,647,075
1950,76,647,076
1950,77,601,077
1950,78,634,078
1950,79,533,079
1950,80,530,080
1950,81,509,081
1950,82,485,082
1950,83,469,083
1950,84,446,084
1950,85,413,085
1950,86,394,086
1950,87,380,087
1950,88,364,088
1950,89,353,089
1950,90,332,090
1950,91,316,091
1950,92,271,092
1950,93,259,093
1950,94,243,094
1950,95,259,095
1950,96,301,096
1950,97,239,097
1950,98,253,098
1950,99,266,099
1950,100,158,100
1951,0,1057,000
1951,1,1053,001
1951,2,1037,002
1951,3,1036,003
1951,4,1036,004
1951,5,1040,005
1951,6,1029,006
1951,7,1029,007
1951,8,1046,008
1951,9,1034,009
1951,10,1030,010
1951,11,1038,011
1951,12,1033,012
1951,13,1014,013
1951,14,1040,014
1951,15,1007,015
1951,16,994,016
1951,17,1003,017
1951,18,989,018
1951,19,980,019
1951,20,928,020
1951,21,1089,021
1951,22,995,022
1951,23,990,023
1951,24,985,024
1951,25,957,025
1951,26,957,026
1951,27,960,027
1951,28,970,028
1951,29,987,029
1951,30,950,030
1951,31,977,031
1951,32,942,032
1951,33,943,033
1951,34,928,034
1951,35,939,035
1951,36,924,036
1951,37,929,037
1951,38,916,038
1951,39,937,039
1951,40,902,040
1951,41,941,041
1951,42,909,042
1951,43,876,043
1951,44,857,044
1951,45,877,045
1951,46,842,046
1951,47,837,047
1951,48,818,048
1951,49,858,049
1951,50,808,050
1951,51,864,051
1951,52,815,052
1951,53,810,053
1951,54,801,054
1951,55,795,055
1951,56,785,056
