Month,Year,North,South
1,1978,,
1,1979,15.4,5.4
1,1980,14.9,4.6
1,1981,14.9,4.4
1,1982,15.2,5.3
1,1983,14.9,4.8
1,1984,14.5,4.8
1,1985,14.7,4.5
1,1986,14.9,5.4
1,1987,15.0,5.1
1,1988,15.1,3.8
1,1989,15.0,4.7
1,1990,14.8,4.9
1,1991,14.4,5.3
1,1992,14.6,4.7
1,1993,14.9,4.4
1,1994,14.7,5.0
1,1995,14.6,5.6
1,1996,14.2,5.9
1,1997,14.4,4.2
1,1998,14.7,4.5
1,1999,14.4,4.8
1,2000,14.2,4.7
1,2001,14.2,5.2
1,2002,14.3,4.7
1,2003,14.4,5.8
1,2004,14.0,5.6
1,2005,13.7,4.8
1,2006,13.5,4.2
1,2007,13.7,4.7
1,2008,13.9,6.4
1,2009,13.9,5.7
1,2010,13.7,5.0
1,2011,13.5,4.5
1,2012,13.7,5.7
1,2013,13.7,5.5
1,2014,13.6,6.3
1,2015,13.6,6.9
1,2016,13.5,4.7
1,2017,13.2,3.8
1,2018,13.1,4.2
1,2019,13.6,3.9
1,2020,13.6,4.6
1,2021,13.5,4.8
1,2022,13.9,3.9
1,2023,13.3,3.2
1,2024,13.9,4.0
1,2025,13.1,4.7
2,1978,,
2,1979,16.2,3.1
2,1980,16.0,2.8
2,1981,15.6,2.9
2,1982,16.0,3.1
2,1983,16.0,3.1
2,1984,15.3,2.7
2,1985,15.5,2.8
2,1986,15.8,3.2
2,1987,16.1,3.3
2,1988,15.6,2.9
2,1989,15.5,3.0
2,1990,15.6,3.0
2,1991,15.2,3.2
2,1992,15.5,2.8
2,1993,15.7,2.5
2,1994,15.6,3.2
2,1995,15.2,3.6
2,1996,15.2,3.0
2,1997,15.4,2.5
2,1998,15.7,3.0
2,1999,15.3,3.0
2,2000,15.1,2.9
2,2001,15.2,3.7
2,2002,15.3,3.0
2,2003,15.2,3.8
2,2004,14.9,3.6
2,2005,14.4,3.0
2,2006,14.3,2.7
2,2007,14.5,2.9
2,2008,15.0,3.9
2,2009,14.8,3.0
2,2010,14.6,3.1
2,2011,14.4,2.5
2,2012,14.6,3.6
2,2013,14.7,3.8
2,2014,14.4,3.8
2,2015,14.4,3.8
2,2016,14.2,2.8
2,2017,14.1,2.3
2,2018,14.0,2.3
2,2019,14.4,2.7
2,2020,14.6,2.9
2,2021,14.4,2.9
2,2022,14.6,2.2
2,2023,14.2,1.9
2,2024,14.6,2.1
2,2025,13.4,2.8
3,1978,,
3,1979,16.3,4.0
3,1980,16.0,3.3
3,1981,15.6,3.4
3,1982,16.0,4.3
3,1983,16.1,4.0
3,1984,15.6,3.6
3,1985,15.9,3.7
3,1986,15.9,3.7
3,1987,15.8,4.1
3,1988,16.0,4.0
3,1989,15.4,3.9
3,1990,15.9,4.0
3,1991,15.4,3.8
3,1992,15.5,3.6
3,1993,15.8,3.7
3,1994,15.6,4.5
3,1995,15.3,4.6
3,1996,15.1,4.2
3,1997,15.5,3.5
3,1998,15.6,4.1
3,1999,15.4,4.0
3,2000,15.2,4.1
3,2001,15.5,4.7
3,2002,15.3,3.7
3,2003,15.5,4.4
3,2004,15.0,4.5
3,2005,14.7,4.1
3,2006,14.4,3.2
3,2007,14.5,3.8
3,2008,15.2,5.3
3,2009,15.0,4.4
3,2010,15.1,3.8
3,2011,14.5,3.4
3,2012,15.2,4.6
3,2013,15.0,5.0
3,2014,14.8,4.9
3,2015,14.4,5.0
3,2016,14.4,4.1
3,2017,14.3,2.7
3,2018,14.3,3.5
3,2019,14.6,3.2
3,2020,14.7,4.0
3,2021,14.7,4.5
3,2022,14.6,2.9
3,2023,14.4,2.8
3,2024,14.9,3.2
