Week,Year,North,South
1,1978,,
1,1979,14.94933333,6.807
1,1980,14.30533333,5.741666667
1,1981,14.356,6.057
1,1982,14.479,7.039
1,1983,14.253,6.508
1,1984,14.20066667,6.631
1,1985,14.1425,6.294
1,1986,14.164,7.645
1,1987,14.305,6.765
1,1988,,
1,1989,14.36471429,6.265571429
1,1990,14.33616667,6.417
1,1991,13.8084,6.8042
1,1992,14.0935,6.36125
1,1993,14.088,6.1815
1,1994,14.095,6.724
1,1995,14.28842857,6.973571429
1,1996,13.81916667,7.450333333
1,1997,13.78975,5.844
1,1998,14.128,6.043666667
1,1999,13.8545,6.445
1,2000,13.442,6.923
1,2001,13.51333333,6.278333333
1,2002,13.6244,6.4572
1,2003,13.7865,7.34825
1,2004,13.514,7.212333333
1,2005,13.16,6.822
1,2006,13.26057143,5.631571429
1,2007,13.2525,6.2735
1,2008,13.2276,8.6916
1,2009,13.212,7.788
1,2010,13.2185,7.3085
1,2011,12.896,6.843
1,2012,13.40928571,7.173285714
1,2013,13.0084,6.8508
1,2014,13.11225,8.32825
1,2015,13.10333333,9.273333333
1,2016,12.7635,6.816
1,2017,12.80428571,5.163285714
1,2018,12.67466667,6.018666667
1,2019,13.0196,5.0088
1,2020,13.12025,6.06425
1,2021,12.7105,6.5395
1,2022,13.291,5.651
1,2023,12.81071429,4.220714286
1,2024,13.44633333,5.654666667
1,2025,12.49775,6.7315
2,1978,,
2,1979,15.16166667,6.12
2,1980,14.59233333,5.067666667
2,1981,14.581,5.105666667
2,1982,14.83833333,6.388666667
2,1983,14.42233333,5.899666667
2,1984,14.362,5.50125
2,1985,14.46925,5.1485
2,1986,14.61125,6.584
2,1987,14.578,6.0695
2,1988,,
2,1989,14.80385714,5.089
2,1990,14.62628571,5.493857143
2,1991,14.07828571,5.997285714
2,1992,14.36228571,5.528428571
2,1993,14.32371429,5.485714286
2,1994,14.22128571,6.190285714
2,1995,14.40985714,6.039285714
2,1996,13.97642857,6.660857143
2,1997,14.20242857,4.874571429
2,1998,14.32957143,5.274
2,1999,14.053,5.867857143
2,2000,13.709,6.015
2,2001,14.01357143,5.624571429
2,2002,13.86657143,5.388285714
2,2003,14.10885714,6.685142857
2,2004,13.68814286,6.429428571
2,2005,13.33314286,6.234714286
2,2006,13.42128571,4.469571429
2,2007,13.35785714,5.297142857
2,2008,13.52985714,7.511857143
2,2009,13.50357143,6.981142857
2,2010,13.41485714,6.126
2,2011,13.08485714,6.226285714
2,2012,13.74657143,6.146428571
2,2013,13.32085714,6.210857143
2,2014,13.25757143,7.367714286
2,2015,13.18014286,8.534857143
2,2016,12.98542857,6.062857143
2,2017,12.89171429,4.313857143
2,2018,12.86085714,4.824
2,2019,13.34114286,4.341571429
2,2020,13.23414286,5.401857143
2,2021,12.93614286,5.891857143
2,2022,13.50314286,4.976571429
2,2023,13.26942857,3.521857143
2,2024,13.861,4.649285714
2,2025,12.82114286,5.779714286
3,1978,,
3,1979,15.5195,5.29
3,1980,14.91975,4.49725
3,1981,14.77125,4.3625
3,1982,15.13775,5.5285
3,1983,14.70025,4.953
3,1984,14.406,4.251
3,1985,14.71933333,4.218
3,1986,14.95766667,5.243
3,1987,14.76666667,5.19
3,1988,14.91,4.37425
3,1989,15.09357143,4.355285714
3,1990,14.82028571,4.575142857
3,1991,14.42485714,5.190714286
3,1992,14.57657143,4.689571429
3,1993,14.69928571,4.653714286
3,1994,14.55214286,5.256
3,1995,14.68571429,5.343714286
